stockname,value
中鋼(2002),32.281686015400126
中鴻(2014),19.90356613774496
大成鋼(2027),14.042617908984912
新光鋼(2031),5.514529856757411
燁輝(2023),4.959697179647499
海光(2038),4.441477826407782
東和鋼鐵(2006),3.2754842816184215
威致(2028),1.8898107936078772
春源(2010),1.8560138792661565
彰源(2030),1.2955483830992898
官田鋼(2017),1.1265638113906868
盛餘(2029),1.1181145828052566
聚亨(2022),1.084317668463536
美亞(2020),0.9829269254383743
榮剛(5009),0.8899854109986425
中鋼構(2013),0.7773290298595739
建錩(5014),0.7153680202330861
長榮鋼(2211),0.7041023821191792
大國鋼(8415),0.6111608676794476
運錩(2069),0.5435670389960063
燁興(2007),0.5323014008820995
豐興(2015),0.4787896198410419
春雨(2012),0.467523981727135
新鋼(2032),0.3210706862463457
佳大(2033),0.18644631078515866
