stockname,value
中石化(1314),19.59183043810688
台塑(1301),11.647111795882438
台聚(1304),10.605813721416126
南亞(1303),9.670573784163977
國喬(1312),9.352399372521493
聯成(1313),7.568694337556055
亞聚(1308),6.083880416557797
華夏(1305),5.891047439804776
台化(1326),5.727139409564709
台達化(1309),5.437889944435178
恆大(1325),4.078417458326383
台苯(1310),1.6969301954265805
炎洲(4306),1.552305462861815
大洋(1321),0.272858662105524
達新(1315),0.1928329767530205
再生-KY(1337),0.19186881186925536
三芳(1307),0.1253414348894633
勝悅-KY(1340),0.10027314791157065
永裕(1323),0.08340026244568137
地球(1324),0.04955807502552627
富林-KY(1341),0.024104122094127562
國喬特(1312),0.021211627442832254
信立(4303),0.02092237797770272
萬國通(9950),0.010412980744663108
世坤(4305),0.003181744116424838
