stockname,value
長榮(2603),37.44318538523129
陽明(2609),31.32437706969613
萬海(2615),11.398450357603556
慧洋-KY(2637),4.265986747109104
裕民(2606),3.448406744342463
台驊投控(2636),1.864514131721942
台航(2617),1.503843525440949
四維航(5608),1.4687658355532713
中菲行(5609),1.2448082770396374
新興(2605),1.1044975174889267
台船(2208),0.9785776050716224
榮運(2607),0.9695833256132433
嘉里大榮(2608),0.7681114657455566
中航(2612),0.43892083756888944
正德(2641),0.3849551608186162
中櫃(2613),0.25273925278044657
志信(2611),0.2446444012679056
陸海(5603),0.1816844450592534
台灣高鐵(2633),0.17808673327590188
捷迅(2643),0.16279645819665775
遠雄港(5607),0.15200332284660312
漢翔(2634),0.11242849322973603
建新國際(8367),0.0668274963757551
亞航(2630),0.038225687698110244
台聯櫃(5601),0.003579723224434795
